Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Saquon Barkley*+,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,3,
Derrick Henry*,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,,
Jahmyr Gibbs*,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,,
Lamar Jackson*+,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,1,
Ja'Marr Chase*+,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,,
Bijan Robinson*,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,1,
Josh Jacobs*,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,,
Josh Allen*,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,,1
Joe Burrow*,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,,
Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,,
James Cook*,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,,
Justin Jefferson*+,MIN,WR,25,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,,
Baker Mayfield*,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,,1
Jonathan Taylor*,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,,
George Kittle*,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,,
Jayden Daniels*,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,1,2
De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,,
Amon-Ra St. Brown*+,DET,WR,25,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,,
Brian Thomas*,JAX,WR,22,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,2,
Brock Bowers*+,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,,
James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,2,
Joe Mixon*,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,,
Terry McLaurin*,WAS,WR,29,17,17,0,0,0,0,0,2,2,1,0,117,82,1096,13.37,13,1,1,,
Trey McBride*,ARI,TE,25,16,16,0,0,0,0,0,1,2,2,1,147,111,1146,10.32,2,0,0,,
Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,1,
Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3,0,158,100,1271,12.71,9,0,0,,
Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,1,
Jonnu Smith*,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,,
Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,,
Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,,
Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,,
Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8,2,5,3,,
Jared Goff*,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.6,0,1,1,7,7,1,6,0,,1
David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,,
Mike Evans*,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,,
Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,2,
Malik Nabers*,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,1,
Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2,1,3,0,,
Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.2,14,0,0,0,,0,9,5,,
CeeDee Lamb*,DAL,WR,25,15,15,0,0,0,0,0,14,70,5,0,152,101,1194,11.82,6,1,1,1,
Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,,
Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,,
Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,1,
Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2,0,70,50,707,14.14,7,1,1,1,
Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,2,
Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,1,
Sam Darnold*,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,,
Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,,
D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,1,
Jaxon Smith-Njigba*,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.2,0,137,100,1130,11.3,6,1,0,,
Jerry Jeudy*,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,2,
Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,1,
Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,,
Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,,
